"","y","x1","x2","x3"
"1",48,50,51,2.3
"2",57,36,46,2.3
"3",66,40,48,2.2
"4",70,41,44,1.8
"5",89,28,43,1.8
"6",36,49,54,2.9
"7",46,42,50,2.2
"8",54,45,48,2.4
"9",26,52,62,2.9
"10",77,29,50,2.1
"11",89,29,48,2.4
"12",67,43,53,2.4
"13",47,38,55,2.2
"14",51,34,51,2.3
"15",57,53,54,2.2
"16",66,36,49,2
"17",79,33,56,2.5
"18",88,29,46,1.9
"19",60,33,49,2.1
"20",49,55,51,2.4
"21",77,29,52,2.3
"22",52,44,58,2.9
"23",60,43,50,2.3
"24",86,23,41,1.8
"25",43,47,53,2.5
"26",34,55,54,2.5
"27",63,25,49,2
"28",72,32,46,2.6
"29",57,32,52,2.4
"30",55,42,51,2.7
"31",59,33,42,2
"32",83,36,49,1.8
"33",76,31,47,2
"34",47,40,48,2.2
"35",36,53,57,2.8
"36",80,34,49,2.2
"37",82,29,48,2.5
"38",64,30,51,2.4
"39",37,47,60,2.4
"40",42,47,50,2.6
"41",66,43,53,2.3
"42",83,22,51,2
"43",37,44,51,2.6
"44",68,45,51,2.2
"45",59,37,53,2.1
"46",92,28,46,1.8
